"cell_id","sigma_new","omega_new","sigma_stage1","importer","good","adjust","hliml_status","final_source","sigma_prod","omega_prod","sigma_hliml_prod","omega_hliml_prod","sigma_step2_prod","omega_step2_prod","status_prod","sigma_diff","heuristic_boundary"
"428_0305",1.30134032816339,0.0705840042342604,1.88369489438937,428,"0305",1,"hliml_fail_no_convergence","step2_weighted",1.30134032816342,0.0705840042342618,NA,NA,1.30134032816342,0.0705840042342618,"ok",-2.62012633811537e-14,FALSE
"428_7205",1.33335051828514,0.388759233963814,2.63419634386647,428,"7205",0,"ok","hliml",1.33335051829296,0.388759233962449,1.33335051829296,0.388759233962449,1.39611863653064,0.390669166434383,"ok",-7.81752440559558e-12,FALSE
"430_0306",4.83902480967476,1e-04,6.45734313739277,430,"0306",1,"hliml_fail_no_convergence","step2_weighted",4.83902480967473,1e-04,NA,NA,4.83902480967473,1e-04,"ok",2.93098878501041e-14,FALSE
"454_7117",2.32791066794902,2.05902747371198,7.32904093207965,454,"7117",0,"ok","hliml",2.32791066794809,2.05902747371172,2.32791066794809,2.05902747371172,2.71013974714119,2.05314787000654,"ok",9.32587340685131e-13,FALSE
"466_7315",2.19473623915655,0.16723469637755,3.40273699870372,466,"7315",0,"ok","hliml",2.19473623918968,0.167234696383336,2.19473623918968,0.167234696383336,2.00732414846255,0.305495550398601,"ok",-3.31263905195556e-11,FALSE
"470_2002",4.90624770314546,1e-04,5.66659687724082,470,"2002",1,"hliml_fail_no_convergence","step2_weighted",4.90624770314546,1e-04,NA,NA,4.90624770314546,1e-04,"ok",-3.5527136788005e-15,FALSE
"478_8476",2.19570331856269,6.93574800791637,10.9940160630629,478,"8476",0,"ok","hliml",2.19570331856269,6.93574800791637,2.19570331856269,6.93574800791637,2.27627815668547,0.423277615165611,"ok",-4.44089209850063e-15,FALSE
"48_2518",2.73851493924412,0.294121002534928,21.3951682764194,48,"2518",0,"ok","hliml",2.73851493924412,0.294121002534928,2.73851493924412,0.294121002534928,2.6630635417363,0.289623893387803,"ok",-1.77635683940025e-15,FALSE
"48_3101",2.79983707180189,1e-04,4.15997289219101,48,"3101",1,"hliml_fail_no_convergence","step2_weighted",2.7998370718019,1e-04,NA,NA,2.7998370718019,1e-04,"ok",-8.88178419700125e-15,FALSE
"48_7214",10,1e-04,8.17465313965074,48,"7214",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,209.586796212604,1e-04,"ok",0,TRUE
"480_8455",1.93251399332538,0.536288619939481,2.60567317066142,480,"8455",0,"ok","hliml",1.93251399332538,0.536288619939481,1.93251399332538,0.536288619939481,1.85379897078524,0.3830434749022,"ok",-4.88498130835069e-15,FALSE
"484_1302",10,1e-04,3.75189000849259,484,"1302",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,41.7200533317411,1e-04,"ok",0,TRUE
"484_5101",4.17056283654394,1e-04,5.23110175918045,484,"5101",1,"hliml_fail_no_convergence","step2_weighted",4.17056283654657,1e-04,NA,NA,4.17056283654657,1e-04,"ok",-2.63078447915177e-12,FALSE
"490_7210",1.59544758472817,0.54992679536881,3.04906916677646,490,"7210",0,"ok","hliml",1.59544758472891,0.549926795369148,1.59544758472891,0.549926795369148,1.59205267979112,0.650107925883214,"ok",-7.39630579005279e-13,FALSE
"490_8608",2.25394006219558,2.65335496007279,2.88584698103299,490,"8608",0,"ok","hliml",2.25394007684025,2.65335505281522,2.25394007684025,2.65335505281522,2.15227236520089,2.45976820071958,"ok",-1.46446668125577e-08,FALSE
"496_8707",3.89566568082276,3.44206980642847,2.50421096285528,496,"8707",1,"hliml_fail_no_convergence","step2_weighted",3.89566568082292,3.442069806429,NA,NA,3.89566568082292,3.442069806429,"ok",-1.56763491077072e-13,FALSE
"516_2515",2.47757153905053,1e-04,3.88289381518384,516,"2515",1,"hliml_fail_no_convergence","step2_weighted",2.47757153905053,1e-04,NA,NA,2.47757153905053,1e-04,"ok",1.77635683940025e-15,FALSE
"516_7229",5.56331768332567,1e-04,5.9601125731123,516,"7229",1,"hliml_fail_no_convergence","step2_weighted",5.5633176833257,1e-04,NA,NA,5.5633176833257,1e-04,"ok",-2.66453525910038e-14,FALSE
"52_8538",5.14987516245916,1e-04,3.72321135487287,52,"8538",1,"hliml_fail_no_convergence","step2_weighted",5.14987516245915,1e-04,NA,NA,5.14987516245915,1e-04,"ok",7.105427357601e-15,FALSE
"524_9009",9.52517239049059,1e-04,1.85828646134995,524,"9009",1,"hliml_fail_no_convergence","step2_weighted",9.52517239049046,1e-04,NA,NA,9.52517239049046,1e-04,"ok",1.31450406115619e-13,FALSE
"528_7103",1.59168866369756,0.156671933080984,2.82073519206439,528,"7103",0,"ok","hliml",1.59168866315159,0.156671932734759,1.59168866315159,0.156671932734759,1.66935378982151,0.21068357678233,"ok",5.45967493437161e-10,FALSE
"540_8415",3.11732438830538,1e-04,4.46379753999922,540,"8415",1,"hliml_fail_no_convergence","step2_weighted",3.11732438830539,1e-04,NA,NA,3.11732438830539,1e-04,"ok",-7.54951656745106e-15,FALSE
"548_3920",2.96180939890916,1e-04,4.19192968379581,548,"3920",1,"hliml_fail_no_convergence","step2_weighted",2.961809398909,1e-04,NA,NA,2.961809398909,1e-04,"ok",1.59428026336172e-13,FALSE
"554_2915",3.43625390392565,1.57968018578782,8.15885151570451,554,"2915",1,"hliml_fail_no_convergence","step2_weighted",3.43625390392558,1.57968018578783,NA,NA,3.43625390392558,1.57968018578783,"ok",6.70574706873595e-14,FALSE
"554_7411",7.00148960624483,1e-04,4.93303774832847,554,"7411",1,"hliml_fail_no_convergence","step2_weighted",7.00148960624478,1e-04,NA,NA,7.00148960624478,1e-04,"ok",4.9737991503207e-14,FALSE
"554_8468",1.33361719815405,0.0995500438240714,4.41188261248488,554,"8468",0,"ok","hliml",1.33361719815412,0.0995500438240875,1.33361719815412,0.0995500438240875,1.3005226220883,0.0751487020191089,"ok",-6.88338275267597e-14,FALSE
"558_3203",1.45443079402692,1.27555819155807,2.44024400361642,558,"3203",0,"ok","hliml",1.45443079402748,1.27555819156266,1.45443079402748,1.27555819156266,1.6243491546985,1.21820275046586,"ok",-5.56665824547053e-13,FALSE
"558_7210",10,1e-04,9.89688026947685,558,"7210",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,13.0148137373831,1e-04,"ok",0,TRUE
"566_1513",3.83240506149113,1e-04,2.15125017781362,566,"1513",1,"hliml_fail_no_convergence","step2_weighted",3.83240506149112,1e-04,NA,NA,3.83240506149112,1e-04,"ok",1.11022302462516e-14,FALSE
"566_3403",3.54934318428298,3.90266750471496,9.4722036881645,566,"3403",1,"hliml_fail_no_convergence","step2_weighted",3.54934318428296,3.90266750471516,NA,NA,3.54934318428296,3.90266750471516,"ok",2.22044604925031e-14,FALSE
"579_4901",3.26241466741436,1e-04,4.70415702803961,579,"4901",1,"hliml_fail_no_convergence","step2_weighted",3.26241466741337,1e-04,NA,NA,3.26241466741337,1e-04,"ok",9.85878045867139e-13,FALSE
"580_4418",2.62224089653545,2.15581493891754,3.29232119900931,580,"4418",0,"ok","hliml",2.62224089653545,2.15581493891754,2.62224089653545,2.15581493891754,2.82513615553393,2.12739772088916,"ok",-8.88178419700125e-16,FALSE
"584_0902",2.18142043581144,1e-04,2.62186217556853,584,"0902",1,"hliml_fail_no_convergence","step2_weighted",2.18142043581143,1e-04,NA,NA,2.18142043581143,1e-04,"ok",6.21724893790088e-15,FALSE
"586_2837",10,1e-04,2.59345523944282,586,"2837",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,16.2499153710182,1e-04,"ok",0,TRUE
