"cell_id","sigma_new","omega_new","sigma_stage1"
"490_8608",2.25394006219558,2.65335496007279,2.88584698103299
"496_8707",3.89566568082276,3.44206980642847,2.50421096285528
"516_2515",2.47757153905053,1e-04,3.88289381518384
"516_7229",5.56331768332567,1e-04,5.9601125731123
"52_8538",5.14987516245916,1e-04,3.72321135487287
"524_9009",9.52517239049059,1e-04,1.85828646134995
"528_7103",1.59168866369756,0.156671933080984,2.82073519206439
"540_8415",3.11732438830538,1e-04,4.46379753999922
"548_3920",2.96180939890916,1e-04,4.19192968379581
"554_2915",3.43625390392565,1.57968018578782,8.15885151570451
"554_7411",7.00148960624483,1e-04,4.93303774832847
"554_8468",1.33361719815405,0.0995500438240714,4.41188261248488
"558_3203",1.45443079402692,1.27555819155807,2.44024400361642
"558_7210",10,1e-04,9.89688026947685
"566_1513",3.83240506149113,1e-04,2.15125017781362
"566_3403",3.54934318428298,3.90266750471496,9.4722036881645
"579_4901",3.26241466741436,1e-04,4.70415702803961
"580_4418",2.62224089653545,2.15581493891754,3.29232119900931
"584_0902",2.18142043581144,1e-04,2.62186217556853
"586_2837",10,1e-04,2.59345523944282
"591_0901",5.55395815562125,1.33628012182105,4.24217251349286
"591_8204",4.89863796628297,1e-04,4.65747302874865
"591_9009",10,1e-04,4.8584719582747
"598_7307",3.00475388317121,1e-04,3.7188788813529
"598_9506",9.88884368382701,1e-04,3.93233013212672
"600_6208",3.58571805723377,2.73101821762444,5.36453296188804
"604_5602",4.06688104113773,1.97971422507162,3.58828726353919
"604_9501",10,1e-04,2.80725709754184
"608_0809",5.98632735973579,0.550145156726584,10.92625071925
"634_0803",4.9438426412412,1.27280708943826,13.7837307620245
"64_6304",2.09737295541693,0.335471152444685,6.13498728760809
"643_8515",2.79682025466107,1e-04,3.36243425600712
"662_4008",2.73223258251713,10,2.02315657105577
"662_6405",2.77266266742753,3.25482074900291,4.71697194967563
"686_0712",1.2787723991808,0.160049635575893,6.29793107159875
"688_6810",1.26406450983312,0.126169895508093,2.31816109235603
"690_8420",10,1e-04,1.93405417497524
"690_9026",2.00865499997189,0.976453680175896,2.80040972725531
"70_8484",1.63551538779439,4.18075222837409,2.81378364179874
"703_8404",5.48865623522394,1e-04,2.59627795483101
"703_8452",2.18965055352591,1.4218522902252,3.04714115520842
"724_8212",5.81638499438889,1e-04,3.36328723015507
"736_0406",1.24017059627064,0.152277270749776,2.91908426558204
"736_8540",4.59352062276345,0.744083577314479,1.85125261728954
"740_7613",1.96282770861584,0.608876264206395,3.84883546375737
